id,created_at,updated_at
9483,01/01/2013 0:26:59,05/23/2013 23:23:08
9484,01/01/2013 0:51:40,05/23/2013 23:23:08
9485,01/01/2013 1:13:18,06/06/2013 0:47:10
9486,01/01/2013 1:57:02,05/23/2013 23:23:08
9487,01/01/2013 2:22:41,05/23/2013 23:23:08
9488,01/01/2013 2:24:36,05/28/2013 0:18:05
9489,01/01/2013 2:55:12,05/23/2013 23:23:08
9490,01/01/2013 2:55:45,05/23/2013 23:23:08
9491,01/01/2013 2:58:52,05/23/2013 23:23:08
9492,01/01/2013 3:50:44,06/14/2013 23:26:21
9493,01/01/2013 3:56:36,06/10/2013 22:21:12
9494,01/01/2013 4:41:30,05/23/2013 23:23:08
9495,01/01/2013 5:51:34,07/06/2013 23:56:22
9496,01/01/2013 5:57:55,05/23/2013 23:23:08
9497,01/01/2013 6:21:47,05/23/2013 23:23:08
9498,01/01/2013 6:23:13,05/23/2013 23:23:08
9499,01/01/2013 6:43:49,05/23/2013 23:23:08
9500,01/01/2013 0:24:15,05/23/2013 23:23:09
9501,01/01/2013 13:52:47,05/23/2013 23:23:09
9502,01/01/2013 14:34:51,05/23/2013 23:23:09
9503,01/01/2013 17:24:33,05/23/2013 23:23:09
9504,01/01/2013 18:07:31,05/23/2013 23:23:09
9505,01/01/2013 19:25:36,05/23/2013 23:23:09
9506,01/01/2013 19:47:55,05/23/2013 23:23:09
9507,01/01/2013 20:23:12,05/23/2013 23:23:09
9508,01/01/2013 21:05:54,07/02/2013 15:01:16
9509,01/01/2013 22:05:53,05/23/2013 23:23:09
9510,01/01/2013 22:32:31,05/23/2013 23:23:09
9511,01/01/2013 22:46:33,05/23/2013 23:23:09
9512,01/01/2013 23:14:06,05/23/2013 23:23:09
9513,01/01/2013 23:18:44,05/23/2013 23:23:09
9514,01/01/2013 23:32:23,06/09/2013 8:30:03
9515,01/01/2013 23:51:53,05/23/2013 23:23:09
9516,01/02/2013 0:46:02,05/23/2013 23:23:09
9517,01/02/2013 0:53:01,05/23/2013 23:23:09
9518,01/02/2013 1:04:45,05/23/2013 23:23:09
9519,01/02/2013 1:13:49,05/23/2013 23:23:09
9520,01/02/2013 2:28:43,05/25/2013 15:00:59
9521,01/02/2013 3:44:17,05/23/2013 23:23:09
9522,01/02/2013 4:39:48,05/23/2013 23:23:09
9523,01/02/2013 4:49:54,05/23/2013 23:23:09
9524,01/02/2013 6:57:08,05/23/2013 23:23:09
9525,01/02/2013 7:34:52,05/23/2013 23:23:09
9526,01/02/2013 7:40:26,05/23/2013 23:23:09
9527,01/02/2013 7:56:55,05/23/2013 23:23:09
9528,01/02/2013 8:12:19,05/23/2013 23:23:09
9529,01/02/2013 8:45:35,05/23/2013 23:23:09
9530,01/02/2013 9:42:29,05/23/2013 23:23:09
9531,01/02/2013 10:45:32,05/23/2013 23:23:09
9532,01/02/2013 0:01:03,05/23/2013 23:23:09
9533,01/02/2013 0:34:32,05/23/2013 23:23:09
9534,01/02/2013 0:36:48,05/23/2013 23:23:09
9535,01/02/2013 14:23:52,05/23/2013 23:23:09
9536,01/02/2013 14:31:10,05/23/2013 23:23:09
9537,01/02/2013 14:45:01,05/23/2013 23:23:09
9538,01/02/2013 15:45:05,05/23/2013 23:23:09
9539,01/02/2013 16:03:51,06/13/2013 17:25:12
9540,01/02/2013 16:32:22,05/23/2013 23:23:10
9541,01/02/2013 16:35:01,05/23/2013 23:23:10
9542,01/02/2013 16:35:31,05/23/2013 23:23:10
9543,01/02/2013 16:58:14,05/23/2013 23:23:10
9544,01/02/2013 16:58:33,05/23/2013 23:23:10
9545,01/02/2013 17:01:49,05/23/2013 23:23:10
9546,01/02/2013 17:13:50,06/15/2013 2:40:42
9547,01/02/2013 17:18:05,05/23/2013 23:23:10
9548,01/02/2013 17:35:51,05/30/2013 14:50:17
9549,01/02/2013 17:40:39,07/07/2013 15:00:42
9550,01/02/2013 17:58:41,05/23/2013 23:23:10
9551,01/02/2013 18:12:13,05/23/2013 23:23:10
9552,01/02/2013 18:14:58,05/23/2013 23:23:10
9553,01/02/2013 19:05:24,05/23/2013 23:23:10
9554,01/02/2013 20:17:21,05/23/2013 23:23:10
9555,01/02/2013 20:19:28,05/23/2013 23:23:10
9556,01/02/2013 20:21:25,05/23/2013 23:23:10
9557,01/02/2013 20:24:31,05/23/2013 23:23:10
9558,01/02/2013 20:29:30,05/23/2013 23:23:10
9559,01/02/2013 20:32:57,05/23/2013 23:23:10
9560,01/02/2013 21:56:08,07/02/2013 18:37:41
9561,01/02/2013 22:30:26,05/23/2013 23:23:10
9562,01/02/2013 23:06:50,05/23/2013 23:23:10
9563,01/02/2013 23:52:58,05/23/2013 23:23:10
9564,01/03/2013 0:49:05,06/10/2013 15:01:42
9565,01/03/2013 1:55:36,05/23/2013 23:23:10
9566,01/03/2013 2:11:01,05/23/2013 23:23:10
9567,01/03/2013 2:11:45,07/08/2013 15:00:33
9568,01/03/2013 2:22:02,07/06/2013 15:02:52
9569,01/03/2013 2:24:45,06/13/2013 3:45:42
9570,01/03/2013 2:26:37,05/23/2013 23:23:10
9571,01/03/2013 2:34:23,05/23/2013 23:23:10
9572,01/03/2013 2:44:18,07/03/2013 2:57:48
9573,01/03/2013 2:58:54,05/23/2013 23:23:10
9574,01/03/2013 3:34:39,05/23/2013 23:23:10
9575,01/03/2013 3:49:56,05/23/2013 23:23:10
9576,01/03/2013 4:20:43,07/01/2013 4:41:16
9577,01/03/2013 4:36:22,05/23/2013 23:23:11
9578,01/03/2013 5:36:15,06/13/2013 17:21:17
9579,01/03/2013 6:12:03,05/23/2013 23:23:11
9580,01/03/2013 6:19:15,05/23/2013 23:23:11
9581,01/03/2013 7:12:51,07/08/2013 2:38:09
9582,01/03/2013 7:23:46,05/23/2013 23:23:11
9583,01/03/2013 8:28:45,05/23/2013 23:23:11
